Click,Avg Particle Size,100,200,300,400,500,600,700,800,900
1,406,10%,25%,12%,19%,5%,14%,6%,7%,2%
2,451,6%,23%,12%,19%,7%,17%,7%,6%,3%
3,497,6%,23%,11%,15%,5%,15%,10%,9%,7%
4,427,8%,27%,13%,18%,5%,14%,6%,5%,5%
5,436,7%,25%,14%,19%,7%,15%,5%,4%,3%
6,469,5%,21%,11%,18%,7%,16%,12%,9%,2%
7,418,7%,24%,15%,24%,8%,15%,4%,1%,2%
8,418,9%,25%,12%,20%,9%,14%,10%,1%,0%
9,486,6%,19%,10%,23%,6%,22%,6%,7%,0%
10,422,10%,25%,10%,17%,8%,17%,10%,3%,0%
11,401,10%,26%,14%,20%,10%,14%,6%,0%,0%
12,485,7%,20%,10%,19%,9%,21%,8%,5%,2%
13,438,7%,23%,11%,21%,9%,22%,3%,2%,2%
14,497,6%,17%,9%,19%,9%,22%,9%,3%,5%
15,480,6%,19%,10%,19%,9%,26%,11%,1%,0%
16,494,8%,21%,9%,16%,6%,22%,10%,5%,3%
17,527,8%,20%,7%,11%,8%,23%,15%,3%,5%
18,494,8%,20%,10%,15%,6%,20%,12%,8%,2%
19,720,5%,11%,5%,8%,5%,25%,22%,11%,7%
20,713,6%,12%,5%,9%,5%,25%,19%,8%,12%
21,685,7%,15%,6%,9%,4%,17%,20%,15%,6%
22,767,6%,11%,5%,8%,4%,20%,21%,20%,5%
23,805,2%,6%,3%,10%,5%,23%,20%,21%,9%
24,924,2%,6%,3%,5%,2%,21%,26%,22%,13%
25,897,2%,5%,3%,7%,5%,20%,25%,19%,14%
26,1010,2%,5%,2%,7%,3%,14%,25%,26%,16%
27,1022,2%,6%,3%,5%,3%,14%,23%,30%,14%
28,1077,2%,4%,2%,5%,3%,13%,23%,34%,14%
29,1167,1%,4%,2%,3%,2%,12%,20%,31%,25%
30,972,2%,6%,3%,6%,3%,16%,20%,28%,16%
31,1139,1%,4%,1%,4%,2%,16%,18%,29%,26%
32,1112,3%,4%,2%,4%,2%,12%,22%,34%,17%
33,907,5%,11%,4%,7%,3%,12%,25%,14%,19%
34,887,5%,12%,5%,7%,4%,13%,10%,21%,23%
35,835,3%,10%,5%,9%,4%,17%,13%,17%,21%
36,846,5%,12%,5%,7%,4%,15%,19%,20%,13%
37,1049,3%,9%,4%,6%,3%,11%,18%,28%,19%
38,1070,4%,9%,3%,6%,2%,12%,16%,24%,24%
39,940,4%,13%,5%,8%,4%,11%,14%,23%,19%
40,892,4%,11%,5%,8%,4%,12%,19%,14%,23%
